"Contestant","Year","Source_country","Points","Vote_type","Points_type","country_code","latitude","longitude","country_code_2","Flag"
"Italy",2016,"Finland",2,"Jury","Low","FIN",61.9241,25.7482,"fi","https://public.flourish.studio/country-flags/svg/fi.svg"
"Italy",2016,"Switzerland",2,"Jury","Low","CHE",46.8182,8.2275,"ch","https://public.flourish.studio/country-flags/svg/ch.svg"
"Italy",2016,"France",12,"Jury","High","FRA",46.6034,2.2137,"fr","https://public.flourish.studio/country-flags/svg/fr.svg"
"Italy",2016,"Cyprus",3,"Jury","Low","CYP",35.1264,33.4299,"cy","https://public.flourish.studio/country-flags/svg/cy.svg"
"Italy",2016,"Netherlands",6,"Jury","Low","NLD",52.1326,5.2913,"nl","https://public.flourish.studio/country-flags/svg/nl.svg"
"Italy",2016,"Germany",3,"Jury","Low","DEU",51.1657,10.4515,"de","https://public.flourish.studio/country-flags/svg/de.svg"
"Italy",2016,"Norway",12,"Jury","High","NOR",60.472,8.4689,"no","https://public.flourish.studio/country-flags/svg/no.svg"
"Italy",2016,"Belgium",10,"Jury","High","BEL",50.5039,4.4699,"be","https://public.flourish.studio/country-flags/svg/be.svg"
"Italy",2016,"Croatia",3,"Jury","Low","HRV",45.1,15.2,"hr","https://public.flourish.studio/country-flags/svg/hr.svg"
"Italy",2016,"Albania",8,"Jury","High","ALB",41.1533,20.1683,"al","https://public.flourish.studio/country-flags/svg/al.svg"
"Israel",2016,"Azerbaijan",3,"Jury","Low","AZE",40.1431,47.5769,"az","https://public.flourish.studio/country-flags/svg/az.svg"
"Israel",2016,"Ireland",4,"Jury","Low","IRL",53.4129,-8.2439,"ie","https://public.flourish.studio/country-flags/svg/ie.svg"
"Israel",2016,"Georgia",3,"Jury","Low","GEO",42.3154,43.3569,"ge","https://public.flourish.studio/country-flags/svg/ge.svg"
"Israel",2016,"Malta",1,"Jury","Low","MLT",35.9375,14.3754,"mt","https://public.flourish.studio/country-flags/svg/mt.svg"
"Israel",2016,"Spain",1,"Jury","Low","ESP",40.4637,-3.7492,"es","https://public.flourish.studio/country-flags/svg/es.svg"
"Israel",2016,"Finland",7,"Jury","Low","FIN",61.9241,25.7482,"fi","https://public.flourish.studio/country-flags/svg/fi.svg"
"Israel",2016,"Switzerland",8,"Jury","High","CHE",46.8182,8.2275,"ch","https://public.flourish.studio/country-flags/svg/ch.svg"
