"Contestant","Year","Source_country","Points","Vote_type","Points_type","country_code","latitude","longitude"
"Australia",2016,"Russia",2,"Jury","Low","RUS",61.524,105.3188
"Australia",2016,"Norway",10,"Jury","High","NOR",60.472,8.4689
"Australia",2016,"Belgium",12,"Jury","High","BEL",50.5039,4.4699
"Australia",2016,"United Kingdom",8,"Jury","High","GBR",55.3781,-3.436
"Australia",2016,"Croatia",12,"Jury","High","HRV",45.1,15.2
"Australia",2016,"Greece",7,"Jury","Low","GRC",39.0742,21.8243
"Australia",2016,"Lithuania",12,"Jury","High","LTU",55.1694,23.8813
"Australia",2016,"Serbia",6,"Jury","Low","SRB",44.0165,20.907
"Australia",2016,"Macedonia",8,"Jury","High","MKD",41.6086,21.7453
"Australia",2016,"Albania",12,"Jury","High","ALB",41.1533,20.1683
"Australia",2016,"Estonia",10,"Jury","High","EST",58.5953,25.0136
"Australia",2016,"Ukraine",5,"Jury","Low","UKR",48.3794,31.1656
"Australia",2016,"Italy",6,"Jury","Low","ITA",41.8719,12.5674
"Australia",2016,"Poland",10,"Jury","High","POL",51.9194,19.1451
"Australia",2016,"Slovenia",6,"Jury","Low","SVN",46.1512,14.9955
"Australia",2016,"Hungary",12,"Jury","High","HUN",47.1625,19.5033
"Australia",2016,"Montenegro",4,"Jury","Low","MNE",42.7087,19.3744
"Australia",2016,"Sweden",12,"Jury","High","SWE",60.1282,18.6435
"Cyprus",2016,"San Marino",5,"Jury","Low","SMR",43.9334,12.4578
"Cyprus",2016,"Malta",5,"Jury","Low","MLT",35.9375,14.3754
"Cyprus",2016,"Moldova",2,"Jury","Low","MDA",47.4116,28.3699
"Cyprus",2016,"Armenia",6,"Jury","Low","ARM",40.0691,45.0382
"Cyprus",2016,"Russia",4,"Jury","Low","RUS",61.524,105.3188
"Cyprus",2016,"United Kingdom",7,"Jury","Low","GBR",55.3781,-3.436
"Cyprus",2016,"Croatia",1,"Jury","Low","HRV",45.1,15.2
"Cyprus",2016,"Greece",8,"Jury","High","GRC",39.0742,21.8243
"Cyprus",2016,"Estonia",4,"Jury","Low","EST",58.5953,25.0136
"Cyprus",2016,"Italy",1,"Jury","Low","ITA",41.8719,12.5674
"Serbia",2016,"Bosnia and Herzegovina",8,"Jury","High","BIH",43.9159,17.6791
"Serbia",2016,"Bulgaria",5,"Jury","Low","BGR",42.7339,25.4858
"Serbia",2016,"United Kingdom",2,"Jury","Low","GBR",55.3781,-3.436
"Serbia",2016,"Croatia",2,"Jury","Low","HRV",45.1,15.2
"Serbia",2016,"Macedonia",7,"Jury","Low","MKD",41.6086,21.7453
"Serbia",2016,"Slovenia",5,"Jury","Low","SVN",46.1512,14.9955
"Serbia",2016,"Montenegro",6,"Jury","Low","MNE",42.7087,19.3744
"Lithuania",2016,"Austria",1,"Jury","Low","AUT",47.5162,14.5501
"Lithuania",2016,"Azerbaijan",5,"Jury","Low","AZE",40.1431,47.5769
"Lithuania",2016,"Czech Republic",3,"Jury","Low","CZE",49.8175,15.473
"Lithuania",2016,"Georgia",5,"Jury","Low","GEO",42.3154,43.3569
"Lithuania",2016,"Finland",6,"Jury","Low","FIN",61.9241,25.7482
"Lithuania",2016,"Switzerland",7,"Jury","Low","CHE",46.8182,8.2275
"Lithuania",2016,"Denmark",5,"Jury","Low","DNK",56.2639,9.5018
"Lithuania",2016,"Moldova",4,"Jury","Low","MDA",47.4116,28.3699
"Lithuania",2016,"Bulgaria",1,"Jury","Low","BGR",42.7339,25.4858
"Lithuania",2016,"Latvia",10,"Jury","High","LVA",56.8796,24.6032
"Lithuania",2016,"Israel",1,"Jury","Low","ISR",31.0461,34.8516
"Lithuania",2016,"Belarus",10,"Jury","High","BLR",53.9006,27.5766
"Lithuania",2016,"Germany",1,"Jury","Low","DEU",51.1657,10.4515
"Lithuania",2016,"Norway",2,"Jury","Low","NOR",60.472,8.4689
"Lithuania",2016,"Australia",7,"Jury","Low","AUS",-25.2744,133.7751
"Lithuania",2016,"United Kingdom",4,"Jury","Low","GBR",55.3781,-3.436
"Lithuania",2016,"Serbia",8,"Jury","High","SRB",44.0165,20.907
"Lithuania",2016,"Estonia",5,"Jury","Low","EST",58.5953,25.0136
"Lithuania",2016,"Ukraine",12,"Jury","High","UKR",48.3794,31.1656
"Lithuania",2016,"Poland",2,"Jury","Low","POL",51.9194,19.1451
"Lithuania",2016,"Hungary",3,"Jury","Low","HUN",47.1625,19.5033
"Lithuania",2016,"Sweden",2,"Jury","Low","SWE",60.1282,18.6435
"Croatia",2016,"Austria",6,"Jury","Low","AUT",47.5162,14.5501
"Croatia",2016,"Iceland",7,"Jury","Low","ISL",64.9631,-19.0208
